Top Country,Country Count,Top Region,Region Count,Top WineType,WineType Count,Producer,Average Rating,Lat,Long,URL
United States,6735,California,2505,Cabernet Sauvignon,317,Spottswoode,4.516666666666667,38.5038315,-122.4670706,https://www.vivino.com/spottswoode-cabernet-sauvignon/w/2037555?year=2014&price_id=30859244
United States,6735,California,2505,Cabernet Sauvignon,317,Red Cap Vineyards,4.5,38.5812999,-122.4510974,https://www.vivino.com/red-cap-cabernet-sauvignon-howell-mountain/w/1719291?year=2021&price_id=36740181
United States,6735,California,2505,Cabernet Sauvignon,317,La Jota,4.5,38.5812999,-122.4510974,https://www.vivino.com/la-jota-cabernet-sauvignon/w/1098598?year=2018&price_id=35849242
United States,6735,California,2505,Cabernet Sauvignon,317,Outpost,4.5,38.5812999,-122.4510974,https://www.vivino.com/outpost-wines-true-vineyard-cabernet-sauvignon/w/2001547?year=2017&price_id=30865189
United States,6735,California,2505,Cabernet Sauvignon,317,Lancaster Estate,4.42,38.6712308,-122.8278697,https://www.vivino.com/lancaster-estate-winemaker-s-cuvee/w/6744723?year=2016&price_id=34483762
Italy,6188,Centro,3049,Brunello di Montalcino,437,Stella di Campalto,4.6,43.3204995,11.3281859,https://www.vivino.com/stella-di-campalto-brunello-di-montalcino/w/1166466?year=2016&price_id=34485439
Italy,6188,Centro,3049,Brunello di Montalcino,437,Cerbaiona,4.5,43.3204995,11.3281859,https://www.vivino.com/cerbaiona-brunello-di-montalcino/w/98586?year=2012&price_id=30859436
Italy,6188,Centro,3049,Brunello di Montalcino,437,Poggio di Sotto,4.5,43.3204995,11.3281859,https://www.vivino.com/poggio-di-sotto-brunello-di-montalcino-riserva/w/1458882?year=2016&price_id=30859226
Italy,6188,Centro,3049,Brunello di Montalcino,437,Biondi-Santi,4.493333333333334,43.3204995,11.3281859,https://www.vivino.com/biondi-santi-brunello-di-montalcino-riserva/w/82698?year=2016&price_id=35849376
Italy,6188,Centro,3049,Brunello di Montalcino,437,Salvioni,4.477777777777778,43.3204995,11.3281859,https://www.vivino.com/salvioni-maria-grazia-brunello-di-montalcino/w/77458?year=1997&price_id=30860383
France,4934,Nouvelle-Aquitaine,1998,Pomerol,277,Le Pin,4.7,44.9311234,-0.1999904,https://www.vivino.com/le-pin-pomerol/w/1197490?year=1998&price_id=36117190
France,4934,Nouvelle-Aquitaine,1998,Pomerol,277,Château Pétrus,4.690909090909091,44.9311234,-0.1999904,https://www.vivino.com/chateau-petrus-pomerol/w/1166837?year=1960&price_id=10008862
France,4934,Nouvelle-Aquitaine,1998,Pomerol,277,Château La Fleur-Pétrus,4.5200000000000005,44.9311234,-0.1999904,https://www.vivino.com/la-fleur-petrus-pomerol/w/1098981?year=2019&price_id=35849476
France,4934,Nouvelle-Aquitaine,1998,Pomerol,277,Château l'Évangile,4.4750000000000005,44.9311234,-0.1999904,https://www.vivino.com/chateau-l-evangile-pomerol/w/1108737?year=2010&price_id=10035593
France,4934,Nouvelle-Aquitaine,1998,Pomerol,277,Château Lafleur,4.46,44.9311234,-0.1999904,https://www.vivino.com/chateau-lafleur-pomerol/w/1099307?year=2023&price_id=36361060
Spain,1097,La Rioja,376,Reserva,41,Miguel Merino,4.4,42.3285528,-2.4674917,https://www.vivino.com/miguel-merino-reserva/w/1926277?year=2015&price_id=30889434
Spain,1097,La Rioja,376,Reserva,41,Nucerro,4.2,42.3285528,-2.4674917,https://www.vivino.com/nucerro-reserva/w/4640026?year=2017&price_id=30869490
Spain,1097,La Rioja,376,Reserva,41,Contino,4.1,42.3285528,-2.4674917,https://www.vivino.com/contino-vina-del-olivo/w/1126750?year=2018&price_id=31005201
Spain,1097,La Rioja,376,Reserva,41,Marques de Vargas,4.1,42.3285528,-2.4674917,https://www.vivino.com/marques-de-vargas-gran-reserva-rioja/w/3793508?year=2016&price_id=36117546
Spain,1097,La Rioja,376,Reserva,41,Muga,4.0625,42.3285528,-2.4674917,https://www.vivino.com/muga-prado-enea-gran-reserva/w/1126125?year=1995&price_id=30860529
