Producer,Year,Ratings Average,WineType,January Max Temp (°C),January Min Temp (°C),January Avg Temp (°C),January Max Relative Humidity,January Min Relative Humidity,January Avg Relative Humidity,January Cumulative Rain (mm),January Cumulative Snow (mm),January Avg Cloud Cover (%),January Max Wind Speed (Km/h),January Min Wind Speed (Km/h),January Avg Wind Speed (Km/h),January Avg Daylight Hours,February Max Temp (°C),February Min Temp (°C),February Avg Temp (°C),February Max Relative Humidity,February Min Relative Humidity,February Avg Relative Humidity,February Cumulative Rain (mm),February Cumulative Snow (mm),February Avg Cloud Cover (%),February Max Wind Speed (Km/h),February Min Wind Speed (Km/h),February Avg Wind Speed (Km/h),February Avg Daylight Hours,March Max Temp (°C),March Min Temp (°C),March Avg Temp (°C),March Max Relative Humidity,March Min Relative Humidity,March Avg Relative Humidity,March Cumulative Rain (mm),March Cumulative Snow (mm),March Avg Cloud Cover (%),March Max Wind Speed (Km/h),March Min Wind Speed (Km/h),March Avg Wind Speed (Km/h),March Avg Daylight Hours,April Max Temp (°C),April Min Temp (°C),April Avg Temp (°C),April Max Relative Humidity,April Min Relative Humidity,April Avg Relative Humidity,April Cumulative Rain (mm),April Cumulative Snow (mm),April Avg Cloud Cover (%),April Max Wind Speed (Km/h),April Min Wind Speed (Km/h),April Avg Wind Speed (Km/h),April Avg Daylight Hours,May Max Temp (°C),May Min Temp (°C),May Avg Temp (°C),May Max Relative Humidity,May Min Relative Humidity,May Avg Relative Humidity,May Cumulative Rain (mm),May Cumulative Snow (mm),May Avg Cloud Cover (%),May Max Wind Speed (Km/h),May Min Wind Speed (Km/h),May Avg Wind Speed (Km/h),May Avg Daylight Hours,June Max Temp (°C),June Min Temp (°C),June Avg Temp (°C),June Max Relative Humidity,June Min Relative Humidity,June Avg Relative Humidity,June Cumulative Rain (mm),June Cumulative Snow (mm),June Avg Cloud Cover (%),June Max Wind Speed (Km/h),June Min Wind Speed (Km/h),June Avg Wind Speed (Km/h),June Avg Daylight Hours,July Max Temp (°C),July Min Temp (°C),July Avg Temp (°C),July Max Relative Humidity,July Min Relative Humidity,July Avg Relative Humidity,July Cumulative Rain (mm),July Cumulative Snow (mm),July Avg Cloud Cover (%),July Max Wind Speed (Km/h),July Min Wind Speed (Km/h),July Avg Wind Speed (Km/h),July Avg Daylight Hours,August Max Temp (°C),August Min Temp (°C),August Avg Temp (°C),August Max Relative Humidity,August Min Relative Humidity,August Avg Relative Humidity,August Cumulative Rain (mm),August Cumulative Snow (mm),August Avg Cloud Cover (%),August Max Wind Speed (Km/h),August Min Wind Speed (Km/h),August Avg Wind Speed (Km/h),August Avg Daylight Hours,September Max Temp (°C),September Min Temp (°C),September Avg Temp (°C),September Max Relative Humidity,September Min Relative Humidity,September Avg Relative Humidity,September Cumulative Rain (mm),September Cumulative Snow (mm),September Avg Cloud Cover (%),September Max Wind Speed (Km/h),September Min Wind Speed (Km/h),September Avg Wind Speed (Km/h),September Avg Daylight Hours,October Max Temp (°C),October Min Temp (°C),October Avg Temp (°C),October Max Relative Humidity,October Min Relative Humidity,October Avg Relative Humidity,October Cumulative Rain (mm),October Cumulative Snow (mm),October Avg Cloud Cover (%),October Max Wind Speed (Km/h),October Min Wind Speed (Km/h),October Avg Wind Speed (Km/h),October Avg Daylight Hours,November Max Temp (°C),November Min Temp (°C),November Avg Temp (°C),November Max Relative Humidity,November Min Relative Humidity,November Avg Relative Humidity,November Cumulative Rain (mm),November Cumulative Snow (mm),November Avg Cloud Cover (%),November Max Wind Speed (Km/h),November Min Wind Speed (Km/h),November Avg Wind Speed (Km/h),November Avg Daylight Hours,December Max Temp (°C),December Min Temp (°C),December Avg Temp (°C),December Max Relative Humidity,December Min Relative Humidity,December Avg Relative Humidity,December Cumulative Rain (mm),December Cumulative Snow (mm),December Avg Cloud Cover (%),December Max Wind Speed (Km/h),December Min Wind Speed (Km/h),December Avg Wind Speed (Km/h),December Avg Daylight Hours,Type
Spottswoode,2000,4.4,Cabernet Sauvignon,16.265999,2.016,9.505381674193547,100.0,27.84418,97.47150783870968,174.40000004,0.0,77.95026903225806,26.649727,0.71999997,6.5655001354838705,9.81929506451613,18.166,1.916,10.099189634482759,100.0,42.87545,98.2872417586207,273.100003,0.07,82.78160896551724,27.776047,0.35999998,7.727360734482759,10.767766344827585,24.716,2.616,12.187169258064516,100.0,18.588688,88.70706716129033,61.4000006,0.0,55.93548425806451,21.461555,0.35999998,7.234219909677419,11.98208341935484,29.266,5.016,14.571069533333334,100.0,21.082619,89.39353630000001,57.50000000000001,0.0,38.98750005,19.469976,0.5091169,7.83753166,13.23049315,35.716003,6.516,17.76734412903226,100.0,9.251725,86.111289,34.7,0.0,42.98118314193548,21.9718,0.35999998,8.126244048387097,14.281190451612904,42.666,9.966,21.3073192,99.349304,9.731321,84.95895563333333,4.1,0.0,16.323611257,20.037485,0.0,7.8591871666666675,14.806768733333334,37.666,12.166,21.13306977419355,96.14104,18.024107,89.49999690322582,0.0,0.0,18.44892474116129,18.998314,0.0,6.884128874193548,14.53518158064516,37.416,13.416,22.17399712903226,95.561874,15.031094,84.75335319354838,3.8000002,0.0,17.141129171225806,16.055353,0.0,6.202965309677419,13.610937177419355,38.566,9.666,21.143985933333333,99.33253,13.276904,85.28208326666666,3.6,0.0,21.92916702333333,17.462784,0.35999998,6.120503036666666,12.4171199,33.766,5.516,16.120032193548386,99.66775,14.077447,89.37156203225807,69.199999,0.0,37.12365537096774,27.56058,0.35999998,6.629188993548387,11.175047338709678,22.216,1.416,10.320652913333333,100.0,24.598423,92.37502766666667,32.8,0.0,47.34999949666667,18.416384,0.0,5.187752720000001,10.087857966666666,18.566,1.466,9.804642377419354,100.0,26.004856,90.4429338064516,15.0000007,0.0,63.61962408064516,15.379206,0.0,5.2022622806451615,9.530056274193548,
Spottswoode,2001,4.6,Cabernet Sauvignon,18.866,0.21599996,8.075879058064517,100.0,30.72506,89.9624406451613,110.8,0.0,50.43279563548387,22.461807,0.35999998,6.8867404677419355,9.837164758064516,22.616,1.3659999,8.763023825000001,100.0,21.826357,91.49261924999999,172.199999,7.0,63.953869653571424,20.774214,0.8049845,8.024561067857142,10.776296410714284,27.416,3.666,13.460489203225807,100.0,24.18071,91.5384239032258,68.50000005000001,0.0,55.155914087096775,23.023117,0.5091169,6.554850932258065,11.972245903225808,27.966,3.016,12.4943333,99.649506,21.456203,89.9708767,23.000000049999997,0.0,37.56944476233333,21.129885,0.35999998,7.992577406666667,13.22049815,38.816,9.966,21.40202135483871,94.54114,11.324868,75.58000032258066,0.0,0.0,25.170698768903225,23.441502,0.0,7.5491543935483865,14.274686112903225,37.716003,12.216,22.356763866666665,99.03847,8.746374,73.82533826666666,7.900000049999999,0.0,24.0986110262,21.129883,0.0,7.817147036666666,14.805544083333332,40.016,11.566,21.25558329032258,97.387375,13.853603,87.63141225806451,0.0,0.0,19.783601891290324,15.94601,0.5091169,6.906797177419355,14.540217548387096,37.966003,12.266,22.047250258064516,97.73446,17.686724,89.24515474193548,0.0,0.0,16.875000008645163,16.946787,0.35999998,6.610732583870968,13.619812322580644,34.416,12.016,19.952110866666665,99.02498,13.291038,91.78306743333333,8.600000000000001,0.0,17.976388827466668,15.876775,0.0,5.455362603333333,12.426697083333332,36.166,10.366,18.911564580645162,99.677956,11.789012,82.27266077419354,23.0000001,0.0,49.135753032258066,17.811815,0.0,5.365724303225806,11.184527725806452,25.266,3.466,13.12176394,100.0,26.76884,94.00641126666666,138.6,0.0,66.37222224333333,25.772078,0.5091169,5.990321446666667,10.094709483333332,19.116,2.466,9.341671935483872,100.0,32.204582,94.17063183870968,247.70000009999998,0.0,78.37231151612903,24.627789,0.0,7.542654458064516,9.531515516129033,
Spottswoode,2002,4.7,Cabernet Sauvignon,17.516,-1.184,8.166201558064516,100.0,29.874908,92.85589187096774,69.9000001,0.5600000199999999,51.35752708709678,16.279802,0.5091169,5.630301574193548,9.831061403225807,23.116,-0.28400004,10.378723285714287,100.0,27.430397,95.28103857142857,36.699999999999996,0.0,61.66666728571429,19.386593,0.35999998,5.558285921428571,10.767150964285715,26.716,1.016,11.290932922580645,99.668915,21.63915,89.48677977419355,50.8,0.0,48.75537686129032,23.990698,0.35999998,7.167777506451613,11.962125225806451,28.616,4.166,13.7539165,100.0,20.921997,91.65551096666667,10.000000140000001,0.0,44.04861116,22.55106,0.0,7.600313066666667,13.211103116666667,33.166,6.316,16.961295548387096,99.32214,15.232505,87.65483003225806,16.7999999,0.0,28.095429838709677,17.992796,0.5091169,7.246150645161291,14.267947612903226,38.566,10.216,21.814888766666666,93.200455,9.61261,78.22476839999999,0.0,0.0,13.359722107666666,21.461555,0.35999998,8.235909679999999,14.804310383333334,41.216003,11.766,22.370838838709677,95.52623,12.601921,83.67524583870967,0.0,0.0,14.223118160387097,19.245697,0.5091169,6.811337341935484,14.545694112903226,38.716003,11.666,21.623594387096773,98.037125,10.501653,85.00630364516128,0.0,0.0,13.501344083870967,19.559633,0.35999998,6.103565474193548,13.62824335483871,36.816,10.816,21.2210696,99.33905,12.296638,85.2236226,0.0,0.0,15.431944500933334,18.998314,0.35999998,6.216336996666667,12.4369511,33.516,7.916,17.00806977419355,99.6693,8.711826,86.52156987096774,1.1,0.0,29.15456986129032,16.327497,0.35999998,5.287014067741935,11.19364064516129,23.366,5.866,13.462249966666667,100.0,11.549809,89.113781,82.7000003,0.0,53.138889033333335,28.185953,0.35999998,6.13133304,10.102306,17.015999,2.416,9.769830706451613,100.0,35.938175,96.56798254838709,361.3,0.77,72.43548406451613,34.838253,0.35999998,8.357912348387098,9.532616306451612,best_user_rated
Spottswoode,2003,4.5,Cabernet Sauvignon,21.166,2.716,11.895704151612904,100.0,31.300783,95.85977545161289,71.5,0.0,69.5551076883871,17.208603,0.35999998,4.8725255419354845,9.825076532258064,19.416,1.016,10.314363225,100.0,26.145027,91.14276135714286,56.5,0.0,43.11755964028571,21.99538,0.35999998,6.50196915,10.758514892857145,24.366,2.966,12.380583129032257,100.0,24.469563,93.50983429032257,80.30000000000001,0.0,56.236559467741934,23.051247,0.5091169,7.52770805483871,11.951869499999999,22.416,2.766,10.983916566666666,100.0,36.678352,95.17519783333334,111.90000004,0.0,58.1722225,21.288757,0.0,8.515836493333333,13.2023318,34.666,5.316,16.96297564516129,99.66709,22.252432,89.74900677419356,20.099999999999998,0.0,40.311827816387094,22.881956,0.35999998,6.961594377419354,14.261025677419354,38.416,10.816,21.049472366666667,93.92578,11.569925,83.28516483333333,0.0,0.0,11.155555525333334,19.201874,0.0,7.222927313333333,14.803296966666666,38.716003,12.016,23.821242032258063,94.57226,13.775068,80.67023196774194,0.0,0.0,18.784946219548388,18.03237,0.0,6.5806392032258065,14.550895467741936,34.966003,13.266,21.743285096774194,97.104454,17.590395,90.7192684516129,7.00000005,0.0,14.827956986967743,16.418526,0.0,6.571540912903226,13.63680779032258,38.266,11.516,22.101208366666665,99.03137,8.718785,81.64815416666667,0.4,0.0,13.826388916800001,17.057314,0.0,5.957560723333333,12.447066816666668,33.216003,6.516,19.740193322580648,98.056816,7.5680013,77.28543441935483,0.8,0.0,20.798387033225808,21.603,0.0,6.2692423999999995,11.203200661290323,20.816,2.116,10.706694363333334,100.0,26.405693,93.42372356666667,74.19999925,0.0,55.61249991966667,16.923828,0.8049845,6.099336843333333,10.10966535,17.716,0.366,9.391672003225805,100.0,42.869484,97.01801403225807,238.0,0.0,76.68951513870968,27.238941,0.5091169,7.207037903225806,9.53359056451613,latest_available
Spottswoode,2004,4.6,Cabernet Sauvignon,16.316,0.065999985,8.648191061290323,100.0,35.702976,96.03597961290323,90.50000014999999,0.0,66.10752673870968,25.630886,0.35999998,5.574856883870968,9.819716000000001,17.316,2.316,9.59293964137931,100.0,32.28,94.98045031034482,224.1000003,0.0,65.14367823572414,24.149532,0.35999998,7.1575339241379305,10.76873327586207,29.066,4.266,15.507465032258064,99.32669,17.619003,88.94139493548387,28.6,0.0,37.43951654516129,20.26899,0.35999998,6.754477722580646,11.983457580645162,33.716003,4.466,15.8793333,99.664314,8.634644,84.45475200000001,12.3000003,0.0,34.968055638,20.16,0.35999998,8.02139092,13.23190015,32.416,9.316,18.156255483870968,97.01325,21.719524,85.84546858064516,0.9,0.0,30.1102152583871,19.652176,0.35999998,8.2975771,14.282458016129032,37.316,11.616,21.287805933333335,93.97627,14.506754,80.00633086666667,1.5,0.0,16.905555512266666,22.89611,0.0,8.284461553333333,14.807243416666667,34.416,12.716,21.661564580645162,97.411545,20.032969,89.31170677419355,0.0,0.0,12.466397783870967,17.81909,0.5091169,6.96700765483871,14.534756112903224,36.716003,13.266,22.30927948387097,97.11113,11.133684,88.44632006451612,0.0,0.0,15.805107699354839,18.532133,0.35999998,6.878616232258064,13.609893419354838,37.115997,9.716,22.311069233333335,96.76127,8.577836,76.83528786666668,1.2,0.0,10.133333353533335,21.24305,0.0,6.66505021,12.415615716666668,34.216003,5.966,16.480381741935485,99.67583,11.75994,88.19117700000001,86.8,0.0,36.865591468903226,23.565569,0.0,6.434887387096774,11.173532822580645,21.716,1.066,11.8392638,100.0,19.964891,88.97917933333333,64.2,0.0,47.3694445156,19.255793,0.0,5.790240513333333,10.086419466666666,19.316,1.316,9.957935441935485,100.0,27.285332,93.19650838709677,214.3999999,0.0,55.41801093548387,24.130743,0.35999998,6.528541732258065,9.529678338709678,
Spottswoode,2005,4.5,Cabernet Sauvignon,18.316,-0.03400004,8.356658532258065,100.0,38.644444,97.48056351612904,116.1,0.07,65.04838689354838,21.407139,0.71999997,6.208966061290322,9.837683129032257,20.516,4.116,11.018604,100.0,25.87523,95.97163350000001,97.899998,0.0,69.21279766785715,18.64369,0.35999998,6.261976039285714,10.77748475,27.216,4.516,13.142276677419355,100.0,20.840641,94.03326774193549,126.6000001,0.0,57.41801056774194,23.675304,0.0,7.2245367322580645,11.973844709677419,24.316,3.916,13.196277666666667,99.665245,22.65793,90.41892096666668,47.2000003,0.0,46.831943876666664,21.915693,0.35999998,7.770576583333334,13.22201985,30.466,7.566,16.718956741935482,100.0,29.763704,94.12603683870968,82.3000001,0.0,48.54435490322581,19.9954,0.5091169,8.139251193548388,14.276082612903226,33.516,9.416,19.176972233333334,100.0,19.843197,89.23483516666667,16.4000002,0.0,23.051388514666666,21.479666,0.35999998,7.979189946666667,14.805925,38.115997,14.216,24.08985780645161,96.18944,17.222427,84.51404529032257,0.0,0.0,4.717741888193548,18.806337,0.0,6.891160829032258,14.53982656451613,35.966003,12.316,22.44725,98.36952,9.841846,86.5732811935484,0.0,0.0,12.860214887741936,14.345898,0.0,6.040020129032258,13.618780693548388,34.466003,10.716,19.6585695,98.68401,14.348868,86.26913353333333,0.1,0.0,10.209722206666667,18.888851,0.0,5.638473183333333,12.4254233,30.916,9.516,17.502223225806453,99.33932,10.122025,84.84834319354839,5.80000004,0.0,29.06854857419355,18.35647,0.35999998,6.067850387096774,11.183131306451614,24.766,3.166,13.528291666666666,100.0,19.152538,86.4466433,48.30000124,0.0,42.63611136,18.72346,0.5091169,6.769231603333334,10.093483950000001,19.066,1.6159999,10.531860083870969,100.0,35.15106,96.06604764516129,361.80000015,0.0,72.92607563548387,32.056175,0.35999998,7.005878877419355,9.531153741935483,
Spottswoode,2006,4.4,Cabernet Sauvignon,19.466,2.316,9.633069848387096,100.0,30.390905,95.12925216129032,102.10000015,0.0,61.73924769148387,19.164719,0.35999998,6.509358090322581,9.831590258064516,22.516,-0.334,10.518381010714284,100.0,29.916685,93.89358232142857,113.3999983,0.0,42.857142857142854,26.562046,0.35999998,6.067868760714285,10.768480678571427,18.016,-1.5339999,8.71445429032258,100.0,28.731863,96.48277561290323,216.09999919999998,1.2600000000000002,76.31317201612903,23.710857,0.35999998,7.947029541935484,11.96371214516129,28.716,2.666,12.495513883333333,100.0,32.506622,96.79919826666666,178.400001,0.0,66.00138915333334,21.178896,0.35999998,6.532920766666666,13.212769100000001,34.115997,8.366,18.280919193548385,98.39335,21.63832,87.80951764516128,20.0999999,0.0,31.803763397096773,22.101183,0.0,6.782978829032258,14.269333677419356,39.615997,10.716,22.4583609,99.33672,9.280499,80.56404206666666,0.4,0.0,27.847222233333333,18.733839,0.35999998,7.170917536666667,14.804686316666666,43.066,13.416,24.836967935483873,94.72004,14.861355,81.3044612580645,0.3,0.0,8.61559155270968,17.076298,0.0,6.394523619354838,14.545022548387097,36.466003,12.116,21.30874170967742,97.080925,12.7014,89.34853825806451,0.0,0.0,6.934139710580645,16.595179,0.35999998,6.193608345161291,13.626925403225806,36.266,10.916,21.009055666666665,98.064316,10.701703,81.63334616666666,0.0,0.0,11.511111226933334,21.046917,0.0,5.894132040000001,12.435480133333334,30.716,7.916,16.598526709677422,99.66983,9.772162,85.07229567741935,8.8,0.0,26.723118333419357,19.48661,0.35999998,5.501977283870968,11.192240774193548,25.466,3.516,12.610722143333334,100.0,23.679909,94.29051766666666,53.5000001,0.0,62.30277744333333,18.681883,0.5091169,5.90138078,10.101187866666667,18.766,-0.684,9.090932767741936,100.0,21.743721,90.213253,114.8000011,0.0,55.84811847316129,24.36591,0.35999998,6.458233516129033,9.532257322580644,
Spottswoode,2007,4.7,Cabernet Sauvignon,19.816,-0.73399997,8.179844038709678,99.67022,18.433203,85.69135638709677,9.9,0.0,28.568548732258062,19.694992,0.0,6.379568232258064,9.825829903225806,24.116,0.616,10.084154671428573,100.0,29.46834,94.37683460714287,136.9000004,0.0,71.46130907142857,19.559633,0.35999998,7.470221146428571,10.759721660714286,27.166,2.466,14.011833241935484,99.34599,17.868904,90.7936546451613,6.800000000000001,0.0,51.03897866129032,20.907913,0.0,6.348969080645161,11.953336870967743,29.566,5.016,14.700999933333332,100.0,19.479538,87.42350523333333,38.6000001,0.0,46.76944399666667,24.967499,0.5091169,8.245055563333333,13.203727483333333,32.316,7.466,18.233607612903228,98.66846,7.634862,82.00635467741935,10.1000001,0.0,28.58736555277419,20.620806,0.35999998,8.436817512903227,14.262184,37.816,9.866,21.1818333,95.40778,12.516028,79.85755856666667,0.0,0.0,22.658333093533333,25.325686,0.5091169,7.98376637,14.803623483333332,38.716003,13.066,22.370838548387095,99.68361,17.830755,86.83250938709678,5.2,0.0,13.037634287096774,18.079027,0.5091169,7.619492154838709,14.550013806451613,37.615997,11.966,22.297988935483872,98.04246,14.398713,85.97976129032259,0.0,0.0,6.3252687605161295,16.394829,0.0,6.859368529032258,13.635544209677418,36.615997,10.766,19.765513833333333,98.69931,16.539461,85.5861607,8.80000005,0.0,13.761111034533334,18.0036,0.35999998,6.70658027,12.445426833333332,28.366,7.716,15.652021483870968,99.33748,16.499157,89.07511032258064,46.2,0.0,38.83333375380646,20.008356,0.5091169,6.252655422580646,11.20193635483871,26.366,3.666,13.689402699999999,99.664314,13.290899,86.4428012,10.7,0.0,38.91111132333333,16.1198,0.0,4.9942401966666665,10.1084884,19.116,1.066,8.61136283548387,100.0,25.448473,89.15481619354838,88.4999997,0.0,55.94892490322581,20.721119,0.35999998,6.840083070967742,9.533345306451613,top_ranked
Spottswoode,2008,4.6,Cabernet Sauvignon,16.866001,1.416,7.845301180645161,100.0,25.535166,94.25573148387096,286.10000014,0.98000003,71.33870986025806,30.811037,0.0,7.908402019354838,9.820791580645162,22.666,1.816,10.041359110344827,100.0,21.570377,93.58930365517242,92.4,0.0,56.7499998137931,24.36325,0.35999998,6.500405903448276,10.770087637931034,23.016,3.566,11.96358064516129,98.96057,22.674469,88.7556929032258,4.1000000000000005,0.0,44.75672024193548,20.598795,0.35999998,7.436194874193548,11.985320112903226,31.066,3.466,13.9607222,99.66656,15.787496,82.59113403333335,4.199999999999999,0.0,26.21111107,25.49908,0.0,8.551329686666666,13.233338633333334,38.416,7.216,18.600878967741934,99.663925,10.206623,78.17049467741936,5.3000003,0.0,28.827956958967743,23.675303,0.35999998,8.339138661290324,14.283653532258064,38.266,9.516,22.519888766666668,92.01636,5.7875843,68.12896623333333,0.0,0.0,11.005555545333333,20.431387,0.0,7.780816386666667,14.807387033333333,41.966003,11.916,22.58515332258064,94.338974,12.240481,83.50406338709678,0.0,0.0,5.49596777516129,17.309973,0.35999998,6.948690658064517,14.533691919354839,39.916,12.116,22.942209806451615,96.12024,12.434405,84.34132751612904,5.1,0.0,12.250000031225806,17.298738,0.35999998,6.642623216129032,13.608545919354837,37.666,8.666,21.267875,99.66285,6.706475,84.605397,0.6,0.0,12.2152778356,14.934577,0.35999998,5.631006439999999,12.414022933333333,30.766,9.066,18.405045806451614,100.0,10.142207,76.459451,25.2999999,0.0,27.547042757419355,18.175545,0.35999998,6.329496935483871,11.172373838709678,27.416,5.766,13.886138866666666,100.0,22.388382,90.84325163333332,67.8,0.0,54.61527741333334,20.880001,0.0,5.909038173333333,10.085566083333333,19.166,-0.73399997,8.119494641935484,100.0,27.965292,93.95452512903226,41.4000002,0.21000000000000002,47.74193574516129,22.086521,0.0,5.950153645161291,9.529691806451613,
Spottswoode,2009,4.5,Cabernet Sauvignon,24.216,0.71599996,10.533069829032259,100.0,25.15236,84.52559674193547,20.20000004,0.0,32.71236553548387,16.746773,0.35999998,6.057124703225806,9.8385535,20.666,1.6159999,9.738767839285714,100.0,24.082575,94.28980285714286,212.39999903999998,0.0,69.15625026171429,20.00512,0.8049845,7.686576207142857,10.778823589285713,26.016,1.016,11.726954396774193,100.0,20.061794,90.25638074193549,73.2000003,0.0,46.47580608387097,24.023088,0.5091169,7.740909970967742,11.975444080645161,33.766,4.316,14.270097266666665,100.0,18.265217,84.61560433333334,15.1000001,0.0,30.50972192,25.1614,0.8049845,8.300239063333333,13.223480516666665,36.316,9.116,18.42466935483871,100.0,18.87118,88.46947232258064,39.300000000000004,0.0,34.93413959774193,19.134262,0.5091169,7.361389812903226,14.277058209677419,38.716003,9.666,19.987527899999996,98.34842,14.770547,88.05335053333333,3.7,0.0,28.584722264533333,19.959719,0.35999998,7.70141974,14.8059293,37.615997,10.866,22.04637648387097,91.37667,10.018121,84.59232658064516,0.0,0.0,8.353494506129032,16.299694,0.35999998,6.870194906451613,14.53873185483871,38.266,12.316,22.322653193548387,98.69423,10.538412,85.99621225806452,0.0,0.0,11.408602097870968,19.8,0.35999998,6.6109782193548385,13.61701464516129,37.516,11.166,22.574888966666666,99.05168,11.37132,85.88366933333333,5.3,0.0,21.463888882933336,19.592731,0.35999998,6.235071776666667,12.423763166666667,28.266,7.966,16.500811806451612,100.0,11.091273,85.08156783870969,90.60000029999999,0.0,35.97446262903226,21.794127,0.35999998,6.612696887096774,11.181549725806452,26.716,3.666,12.657180466666667,99.35258,15.727358,87.9217165,15.9,0.0,34.236110743599994,21.288757,0.35999998,6.080770490000001,10.092799916666667,18.816,-1.8340001,8.308405977419355,100.0,22.012,94.00181358064516,70.2,0.0,64.7298386451613,17.377226,0.35999998,5.243846683870967,9.531200774193548,
