,Top Country,Country Count,Top Region,Region Count,Top District,District Count,Top WineType,WineType Count,Producer,Average Rating,Price,Lat,Long,URL
0,United States,6705,California,2496,Sonoma,465,cabernet sauvignon,237,Fisher Vineyards,4.566666666666666,240.0,38.5110803,-122.8473388,https://www.vivino.com/fisher-vineyards-wedding-vineyard-cabernet-sauvignon/w/2076004?year=2017&price_id=29696047
1,United States,6705,California,2496,Tulare,436,pinot noir,133,Au Bon Climat,4.35,77.0,36.7014631,-118.755997,https://www.vivino.com/au-bon-climat-pinot-noir-isabelle/w/7717?year=2018&price_id=31004565
2,United States,6705,California,2496,Mendocino,362,pinot noir,254,Kosta Browne,4.6,289.99,39.2789696,-123.1029778,https://www.vivino.com/kosta-browne-bootlegger-s-hill-pinot-noir/w/7660568?year=2017&price_id=27673539
3,United States,6705,California,2496,San Luis Obispo,314,cabernet sauvignon,117,Austin Hope,4.466666666666667,154.99,35.6262618,-120.6901319,https://www.vivino.com/austin-hope-reserve-cabernet-sauvignon-paso-robles/w/7774865?year=2021&price_id=37209576
4,United States,6705,California,2496,Napa,262,cabernet sauvignon,210,Hundred Acre,4.766666666666667,979.99,38.8484702,-94.413093,https://www.vivino.com/hundred-acre-kayli-morgan-vineyard-cabernet-sauvignon/w/84351?year=2017&price_id=30867496
5,United States,6705,California,2496,Santa Barbara,232,pinot noir,91,ZD Wines,4.366666666666667,234.19,38.8484702,-94.413093,https://www.vivino.com/zd-wines-reserve-cabernet-sauvignon/w/1328244?year=2004&price_id=36685882
6,Italy,6172,Centro,3057,Toscana,2430,brunello di montalcino,436,Stella di Campalto,4.6,421.0,43.3204995,11.3281859,https://www.vivino.com/stella-di-campalto-brunello-di-montalcino/w/1166466?year=2016&price_id=34485439
7,Italy,6172,Centro,3057,Umbria,579,amarone della valpolicella classico,55,Giusti,4.6,201.0,42.83333,12.83333,https://www.vivino.com/giusti-amarone-della-valpolicella-classico/w/2640383?year=2018&price_id=36990061
8,Italy,6172,Centro,3057,Marche,25,ludi,2,Velenosi,4.25,115.04,42.9348208,13.6910435,https://www.vivino.com/velenosi-ludi/w/1170666?year=2017&price_id=31003854
9,Italy,6172,Centro,3057,Lazio,23,montiano,6,Cotarella,4.125,97.36,41.9808038,12.7662312,https://www.vivino.com/cotarella-montiano/w/22153?year=2015&price_id=31005666
10,France,4929,Nouvelle-Aquitaine,2042,Gironde,1764,pomerol,277,Le Pin,4.7,8999.99,44.9311234,-0.1999904,https://www.vivino.com/le-pin-pomerol/w/1197490?year=1998&price_id=36117190
11,France,4929,Nouvelle-Aquitaine,2042,Dordogne,158,saint-estèphe (grand cru classé),48,Château Montrose,4.3826086956521735,980.0,45.5925,0.6633333,https://www.vivino.com/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=1990&price_id=27512827
