,Top Country,Country Count,Top Region,Region Count,Top District,District Count,Top WineType,WineType Count,Producer,Average Rating,Price,Lat,Long,URL
0,United States,6705,California,2496,Sonoma,465,cabernet sauvignon,237,Silver Oak,4.45,559.99,38.8484702,-94.413093,https://www.vivino.com/silver-oak-napa-valley-cabernet-sauvignon/w/3069?year=2007&price_id=30858961
1,United States,6705,California,2496,Tulare,436,pinot noir,133,Cherry Pie,3.9,74.0,38.8484702,-94.413093,https://www.vivino.com/cherry-pie-san-pablo-bay-block-vineyard-pinot-noir/w/9072833?year=2021&price_id=32655365
2,United States,6705,California,2496,Mendocino,362,pinot noir,254,J. Rochioli,4.5,250.0,39.2789696,-123.1029778,https://www.vivino.com/j-rochioli-vineyards-and-winery-west-block-pinot-noir/w/1211821?year=2022&price_id=36318031
3,United States,6705,Missouri,1895,Jackson,1851,cabernet sauvignon,1081,William Cole Vineyards,4.7,206.64,38.8484702,-94.413093,https://www.vivino.com/william-cole-vineyards-cuvee-claire-cabernet-sauvignon/w/1247106?year=2019&price_id=33898297
4,United States,6705,Missouri,1895,Clay,40,pinot noir,40,Alexana,4.3,99.86,39.1716557,-94.5792892,https://www.vivino.com/alexana-revana-vineyard-estate-pinot-noir/w/1771997?year=2018&price_id=31007341
6,United States,6705,Oregon,489,Marion,250,pinot noir,244,Hundred Suns,4.3,55.54,44.9086731,-123.0022929,https://www.vivino.com/hundred-suns-old-eight-cut-pinot-noir/w/5404341?year=2019&price_id=30989314
7,United States,6705,Oregon,489,Yamhill,85,pinot noir,83,Zena Crown,4.5,104.85,45.1128664,-123.1137322,https://www.vivino.com/zena-crown-slope-pinot-noir/w/5145126?year=2015&price_id=31005036
8,United States,6705,Oregon,489,Lincoln,79,pinot noir,47,MacMurray,3.9,48.99,44.4190178,-124.0763817,https://www.vivino.com/macmurray-pinot-noir-central-coast/w/16093?year=2014&price_id=34273995
9,Italy,6172,Centro,3057,Toscana,2430,brunello di montalcino,436,Il Marroneto,4.4,671.16,43.3204995,11.3281859,https://www.vivino.com/il-marroneto-madonna-delle-grazie-brunello-di-montalcino/w/1171278?year=2015&price_id=30860547
10,Italy,6172,Centro,3057,Umbria,579,amarone della valpolicella classico,55,Bussola,4.5,301.0,42.83333,12.83333,https://www.vivino.com/tommaso-bussola-amarone-della-valpolicella-classico-vigneto-alto-tb/w/74528?year=1999&price_id=30865094
12,Italy,6172,Nord-Ovest,2162,Piemonte,2116,barolo,185,Boroli,4.2,170.8,44.6108408,7.9428448,https://www.vivino.com/boroli-barolo-la-brunella/w/2193665?year=2015&price_id=31004842
15,Italy,6172,Sud,364,Abruzzo,98,montepulciano d'abruzzo,41,Emidio Pepe,4.3,406.0,42.1565463,14.6066804,https://www.vivino.com/emidio-pepe-montepulciano-d-abruzzo/w/13969?year=2002&price_id=30859926
17,France,4929,Nouvelle-Aquitaine,2042,Gironde,1764,pomerol,277,Château La Fleur-Pétrus,4.566666666666666,674.99,44.9311234,-0.1999904,https://www.vivino.com/la-fleur-petrus-pomerol/w/1098981?year=2019&price_id=35849476
18,France,4929,Nouvelle-Aquitaine,2042,Dordogne,158,saint-estèphe (grand cru classé),48,Château Montrose,4.4,980.0,45.5925,0.6633333,https://www.vivino.com/chateau-montrose-saint-estephe-grand-cru-classe/w/80472?year=1990&price_id=27512827
20,France,4929,Bourgogne-Franche-Comté,1215,Côte-d'Or,1124,saint-julien (grand cru classé),159,Château Ducru-Beaucaillou,4.5200000000000005,593.85,47.4019947,5.1364639,https://www.vivino.com/chateau-ducru-beaucaillou-saint-julien-grand-cru-classe/w/61744?year=2009&price_id=4089240
23,France,4929,Auvergne-Rhône-Alpes,442,Ardèche,98,cornas,28,Auguste Clape,4.4,1030.98,44.963521,4.847545,https://www.vivino.com/auguste-clape-cornas/w/92366?year=2010&price_id=35878067
24,Spain,1088,La Rioja,375,"Rioja, La",375,reserva,41,Contino,4.1,226.1,42.2814642,-2.482805,https://www.vivino.com/contino-vina-del-olivo/w/1126750?year=2018&price_id=31005201
25,Spain,1088,Castilla y León,303,Burgos,193,unico (gran reserva),15,Vega Sicilia,4.7,1515.0,41.6591121,-3.6815871,https://www.vivino.com/vega-sicilia-unico-gran-reserva/w/77137?year=2010&price_id=22971578
30,Australia,796,South Australia,643,Barossa,256,shiraz,135,Gibson,4.5,155.13,-34.6134149,138.9385455,https://www.vivino.com/gibson-australian-old-vine-collection-shiraz/w/1751436?year=2016&price_id=24748943
31,Australia,796,South Australia,643,Onkaparinga,188,shiraz,102,Mollydooker,4.375,279.99,-35.2172617,138.5416998,https://www.vivino.com/mollydooker-winery-velvet-glove-shiraz/w/1381424?year=2017&price_id=30859447
32,Australia,796,South Australia,643,Unincorporated SA,91,shiraz,49,Penfolds,4.228571428571429,999.99,-30.5343665,135.6301212,https://www.vivino.com/penfolds-grange/w/1136930?year=2019&price_id=36022860
33,Australia,796,Victoria,78,Yarra Ranges,20,pinot noir,11,Giant Steps,3.9,96.43,-25.0,135.0,https://www.vivino.com/giant-steps-fatal-shore-pinot-noir/w/8642576?year=2022&price_id=36849644
35,Australia,796,Western Australia,47,Augusta Margaret River,41,cabernet sauvignon,29,Leeuwin Estate,4.15,97.17,-33.9531776,115.0769369,https://www.vivino.com/leeuwin-estate-art-series-cabernet-sauvignon/w/1690693?year=2017&price_id=31006300
38,Canada,759,British Columbia,374,Thompson--Okanagan,335,pinot noir,53,Blue Mountain Vineyard,4.2,44.9,50.4478676,-119.1947855,https://www.vivino.com/blue-mountain-vineyard-and-cellars-ltd-okanagan-valley-reserve-pinot-noir/w/1234770?year=2022&price_id=37034680
41,Canada,759,Ontario,271,Hamilton--Niagara Peninsula,171,merlot,36,Our Story,3.8,26.99,43.0408117,-79.5394463,https://www.vivino.com/our-story-cabernet-merlot/w/10836208?year=2022&price_id=35415165
42,Canada,759,Ontario,271,Northeast / Nord-est,49,baco noir,16,Henry of Pelham,3.9,42.99,50.000678,-86.000977,https://www.vivino.com/henry-of-pelham-bin-106-lost-boys-limited-edition-baco-noir/w/8938417?year=2021&price_id=35778709
44,Canada,759,Northwest Territories,64,Northwest Territories / Terri*,64,pinot noir,19,Queenston Mile Vineyard,3.7,40.0,60.10867,-113.64258,https://www.vivino.com/queenston-mile-vineyard-pinot-noir/w/7022549?year=2018&price_id=37132824
45,Argentina,559,Mendoza,404,San Rafael,259,malbec,127,El Enemigo,4.3,159.59,-33.3852648,-69.2771287,https://www.vivino.com/el-enemigo-gran-enemigo-single-vineyard-gualtallary-cabernet-franc/w/3125433?year=2014&price_id=30860314
46,Argentina,559,Mendoza,404,Luján de Cuyo,87,malbec,43,Luigi Bosca,4.2,162.98,-33.1085238,-69.0129984,https://www.vivino.com/luigi-bosca-icono/w/52044?year=2011&price_id=30664740
48,Argentina,559,Córdoba,95,Presidente Roque Sáenz Peña,95,malbec,49,Luca,4.3,69.99,-34.787093,-68.4381868,https://www.vivino.com/luca-beso-de-dante/w/74337?year=2018&price_id=30454313
49,Argentina,559,Santa Cruz,25,Güer Aike,25,pinot noir,18,Chacra,4.0,91.0,-51.6538867,-69.2921939,https://www.vivino.com/chacra-lunita-pinot-noir-patagonia/w/6190259?year=2022&price_id=34744088
50,Chile,310,RegiÃ³n de Coquimbo,257,Provincia de Elqui,257,cabernet sauvignon,76,Odfjell,4.1,67.19,-30.0,-71.0,https://www.vivino.com/odfjell-aliara/w/73593?year=2013&price_id=31005360
