id,name_x,Country,Region,Producer,WineType,year,has_valid_ratings,ratings_average,reviews_count,amount,type,Tannin,Acidity,Intensity,Sweetness,Acidity_norm,Tannin_norm,Intensity_norm,score,price_range
156238156,Beringer Beringer Bros. Bourbon Barrel Aged Cabernet Sauvignon 2016,United States,Napa Valley,Beringer,Beringer Bros. Bourbon Barrel Aged Cabernet Sauvignon,2016.0,True,4.1,4089.0,19.57,price_qpr,4.0,3.5,5.0,1.0,0.25,0.75,1.0,203.813,0-30
167029502,Bread & Butter Pinot Noir 2021,United States,Napa Valley,Bread & Butter,Pinot Noir,2021.0,True,4.0,3171.0,28.99,best_user_rated,2.0,3.5,3.0,1.0,0.25,0.25,0.0,156.726,0-30
85993665,Casa Ferreirinha Papa Figos Douro 2016,Portugal,Douro,Casa Ferreirinha,Papa Figos Douro,2016.0,True,3.9,2767.0,29.39,oldest_available,4.0,3.0,5.0,1.0,0.0,0.75,1.0,136.62849999999997,0-30
99119393,Rutini Cabernet - Malbec 2016,Argentina,Mendoza,Rutini,Cabernet - Malbec,2016.0,True,4.2,3286.0,39.66,most_user_rated,3.5,3.0,4.5,1.0,0.0,0.625,0.75,161.55525,30-60
156135225,Marqués de Riscal Rioja Reserva 2018,Spain,Rioja,Marqués de Riscal,Rioja Reserva,2018.0,True,4.1,3220.0,33.9,top_listed,4.5,4.0,4.0,1.0,0.5,0.875,0.5,158.89874999999998,30-60
150266396,Bodegas Marqués de Cáceres Crianza 2017,Spain,Rioja,Bodegas Marqués de Cáceres,Crianza,2017.0,True,3.7,3146.0,30.49,best_user_rated,4.5,4.0,4.0,1.0,0.5,0.875,0.5,155.45975,30-60
162874246,Austin Hope Austin Hope Cabernet Sauvignon 2020,United States,Paso Robles,Austin Hope,Austin Hope Cabernet Sauvignon,2020.0,True,4.5,3107.0,74.99,price_discounted,4.5,3.5,5.0,1.0,0.25,0.875,1.0,149.25725,60-100
160471734,Barbanera Gigino 80 Anniversario 2018,Italy,Toscana,Barbanera,Gigino 80 Anniversario,2018.0,True,4.3,1460.0,69.99,price_qpr,3.0,3.0,3.0,1.0,0.0,0.5,0.0,67.086,60-100
92859032,Faust Cabernet Sauvignon 2016,United States,Napa Valley,Faust,Cabernet Sauvignon,2016.0,True,4.3,1429.0,73.49,most_user_rated,4.0,3.5,5.0,1.0,0.25,0.75,1.0,65.461,60-100
4051132,Bodegas Faustino I Gran Reserva 2004,Spain,Rioja,Bodegas Faustino,I Gran Reserva,2004.0,True,4.0,2356.0,112.99,best_user_rated,4.5,4.0,4.0,1.0,0.5,0.875,0.5,107.76975,100-150
14344063,Montes Purple Angel 2015,Chile,Colchagua Valley,Montes,Purple Angel,2015.0,True,4.5,1108.0,119.99,price_qpr,4.0,3.0,5.0,1.0,0.0,0.75,1.0,44.73850000000001,100-150
4285474,Hall Napa Valley Cabernet Sauvignon 2014,United States,Napa Valley,Hall,Napa Valley Cabernet Sauvignon,2014.0,True,4.3,1053.0,100.79,most_user_rated,4.0,3.5,5.0,1.0,0.25,0.75,1.0,43.931000000000004,100-150
1364689,Don Melchor Cabernet Sauvignon 2010,Chile,Puente Alto,Don Melchor,Cabernet Sauvignon,2010.0,True,4.6,1768.0,167.99,top_listed,3.5,3.0,4.5,1.0,0.0,0.625,0.75,72.90225000000001,150-200
156516648,Catena Zapata Nicasia Vineyards Red Blend Malbec 2018,Argentina,Vista Flores,Catena Zapata,Nicasia Vineyards Red Blend Malbec,2018.0,True,4.0,1331.0,158.19,most_user_rated,3.0,3.5,4.0,1.5,0.25,0.5,0.5,51.96849999999999,150-200
4091987,Don Melchor Cabernet Sauvignon 2014,Chile,Puente Alto,Don Melchor,Cabernet Sauvignon,2014.0,True,4.6,1024.0,167.99,latest_available,3.5,3.0,4.5,1.0,0.0,0.625,0.75,35.70225,150-200
2061644,Aalto PS (Pagos Seleccionados) 2011,Spain,Ribera del Duero,Aalto,PS (Pagos Seleccionados),2011.0,True,4.6,811.0,209.97,price_qpr,4.0,4.0,4.0,1.0,0.5,0.75,0.5,20.935500000000005,200-300
1186195,Château Lagrange Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Lagrange,Saint-Julien (Grand Cru Classé),2005.0,True,4.2,743.0,244.99,critic_favorite,4.5,4.5,4.0,1.0,0.75,0.875,0.5,14.022249999999996,200-300
1468284,Montes Purple Angel 2011,Chile,Colchagua Valley,Montes,Purple Angel,2011.0,True,4.3,764.0,260.0,oldest_available,4.0,3.0,5.0,1.0,0.0,0.75,1.0,13.4975,200-300
1740597,Muga Prado Enea Gran Reserva 2010,Spain,Rioja,Muga,Prado Enea Gran Reserva,2010.0,True,4.3,1022.0,380.8,latest_available,4.5,4.0,4.0,1.0,0.5,0.875,0.5,14.348749999999999,300+
94288357,Château Smith Haut-Lafitte Pessac-Léognan (Grand Cru Classé) 2016,France,Pessac-Léognan,Château Smith Haut-Lafitte,Pessac-Léognan (Grand Cru Classé),2016.0,True,4.4,423.0,331.99,best_user_rated,5.0,4.5,4.5,1.0,0.75,1.0,0.75,-10.581500000000002,300+
159375544,Tenuta Luce Luce 2019,Italy,Toscana,Tenuta Luce,Luce,2019.0,True,4.4,346.0,324.99,best_user_rated,3.0,3.0,3.0,1.0,0.0,0.5,0.0,-14.094,300+
