id,name_x,year,ratings_average,reviews_count,has_valid_ratings,type,amount
162833040,Álvaro Palacios Quiñon de Valmira 2019,2019.0,4.6,19.0,True,best_user_rated,
160297222,Álvaro Palacios Quiñon de Valmira 2018,2018.0,4.6,28.0,True,top_ranked,
156609096,Álvaro Palacios Quiñon de Valmira 2017,2017.0,4.6,20.0,True,,
153375629,Álvaro Palacios Quiñon de Valmira 2016,2016.0,4.5,53.0,True,,
153407612,Álvaro Palacios Quiñon de Valmira 2015,2015.0,4.6,45.0,True,most_user_rated,
160181956,Álvaro Palacios Les Aubaguetes Priorat 2019,2019.0,4.5,17.0,True,,
156891007,Álvaro Palacios Les Aubaguetes Priorat 2018,2018.0,4.6,14.0,True,top_ranked,
156830571,Álvaro Palacios Les Aubaguetes Priorat 2017,2017.0,4.5,15.0,True,,
146246838,Álvaro Palacios Les Aubaguetes Priorat 2016,2016.0,4.6,34.0,True,best_user_rated,
141632175,Álvaro Palacios Les Aubaguetes Priorat 2015,2015.0,4.5,45.0,True,most_user_rated,
159319870,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2019,2019.0,4.8,8.0,True,,
156123532,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2018,2018.0,4.8,19.0,True,,
150330063,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2017,2017.0,4.8,22.0,True,best_user_rated,
96353515,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2016,2016.0,4.8,19.0,True,,
18090633,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2015,2015.0,4.7,31.0,True,,
3972528,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2014,2014.0,4.6,16.0,True,,
2161423,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2013,2013.0,4.3,15.0,True,,
2467785,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2012,2012.0,4.7,29.0,True,,
3577531,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2011,2011.0,4.6,11.0,True,,
2933882,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2010,2010.0,4.6,32.0,True,,
1775541,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2009,2009.0,4.7,35.0,True,,
2887095,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2008,2008.0,4.7,18.0,True,,
1342048,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2007,2007.0,4.7,36.0,True,,
1923405,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2006,2006.0,4.6,42.0,True,,
1347082,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2005,2005.0,4.7,29.0,True,,
80930,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2004,2004.0,4.8,41.0,True,top_ranked,
2161427,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2003,2003.0,4.6,34.0,True,,
7012966,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2002,2002.0,4.7,39.0,True,,
3093996,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2001,2001.0,4.6,26.0,True,,
120580,Álvaro Palacios L'Ermita Velles Vinyes Priorat 2000,2000.0,4.7,51.0,True,,
73244,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1999,1999.0,4.6,86.0,True,,
2262970,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1998,1998.0,4.7,73.0,True,most_user_rated,
1446362,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1997,1997.0,4.6,56.0,True,,
2611566,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1996,1996.0,4.6,70.0,True,,
16861636,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1995,1995.0,4.6,64.0,True,,
2082072,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1994,1994.0,4.7,24.0,True,,
4210860,Álvaro Palacios L'Ermita Velles Vinyes Priorat 1993,1993.0,4.7,10.0,True,,
152967729,l'Astemia Pentita Barolo Terlo 2017,2017.0,4.3,9.0,True,best_user_rated,
149928424,l'Astemia Pentita Barolo Terlo 2016,2016.0,4.2,8.0,True,,
