id,name_x,Country,Region,Producer,WineType,year,has_valid_ratings,ratings_average,reviews_count,amount,type,Tannin,Acidity,Intensity,Sweetness,Acidity_norm,Tannin_norm,Intensity_norm,score,price_range
156238156,Beringer Beringer Bros. Bourbon Barrel Aged Cabernet Sauvignon 2016,United States,Napa Valley,Beringer,Beringer Bros. Bourbon Barrel Aged Cabernet Sauvignon,2016.0,True,4.1,4089.0,19.57,price_qpr,4.0,3.5,5.0,1.0,0.5714285714285714,0.75,1.0,202.65814285714288,0-30
159561052,Alamos Malbec 2019,Argentina,Mendoza,Alamos,Malbec,2019.0,True,3.8,3884.0,29.39,top_ranked,2.5,2.5,4.0,1.5,0.2857142857142857,0.375,0.75,190.2580714285714,0-30
167029502,Bread & Butter Pinot Noir 2021,United States,Napa Valley,Bread & Butter,Pinot Noir,2021.0,True,4.0,3171.0,28.99,best_user_rated,2.0,3.5,3.0,1.0,0.5714285714285714,0.25,0.5,154.7341428571429,0-30
159335865,Catena Malbec 2019,Argentina,Mendoza,Catena,Malbec,2019.0,True,4.1,5137.0,33.99,best_user_rated,2.5,2.5,4.0,1.5,0.2857142857142857,0.375,0.75,252.10807142857144,30-60
99119393,Rutini Cabernet - Malbec 2016,Argentina,Mendoza,Rutini,Cabernet - Malbec,2016.0,True,4.2,3286.0,39.66,most_user_rated,3.5,3.0,4.5,1.0,0.42857142857142855,0.625,0.875,158.49085714285718,30-60
156135225,Marqués de Riscal Rioja Reserva 2018,Spain,Rioja,Marqués de Riscal,Rioja Reserva,2018.0,True,4.1,3220.0,33.9,top_listed,4.5,4.0,4.0,1.0,0.7142857142857143,0.875,0.75,156.34392857142856,30-60
162874246,Austin Hope Austin Hope Cabernet Sauvignon 2020,United States,Paso Robles,Austin Hope,Austin Hope Cabernet Sauvignon,2020.0,True,4.5,3107.0,74.99,price_discounted,4.5,3.5,5.0,1.0,0.5714285714285714,0.875,1.0,142.6466428571429,60-100
150288027,Zenato Amarone della Valpolicella Classico 2017,Italy,Amarone della Valpolicella Classico,Zenato,Amarone della Valpolicella Classico,2017.0,True,4.4,1512.0,64.4,top_listed,2.0,2.0,5.0,3.0,0.14285714285714285,0.25,1.0,64.96928571428572,60-100
160471734,Barbanera Gigino 80 Anniversario 2018,Italy,Toscana,Barbanera,Gigino 80 Anniversario,2018.0,True,4.3,1460.0,69.99,price_qpr,3.0,3.0,3.0,1.0,0.42857142857142855,0.5,0.5,61.11485714285713,60-100
4051132,Bodegas Faustino I Gran Reserva 2004,Spain,Rioja,Bodegas Faustino,I Gran Reserva,2004.0,True,4.0,2356.0,112.99,best_user_rated,4.5,4.0,4.0,1.0,0.7142857142857143,0.875,0.75,97.28592857142858,100-150
85237909,Masi Costasera Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Masi,Costasera Amarone della Valpolicella Classico,2016.0,True,4.4,2098.0,147.99,top_listed,2.0,2.0,5.0,3.0,0.14285714285714285,0.25,1.0,77.55128571428571,100-150
4285474,Hall Napa Valley Cabernet Sauvignon 2014,United States,Napa Valley,Hall,Napa Valley Cabernet Sauvignon,2014.0,True,4.3,1053.0,100.79,most_user_rated,4.0,3.5,5.0,1.0,0.5714285714285714,0.75,1.0,34.69414285714286,100-150
1364689,Don Melchor Cabernet Sauvignon 2010,Chile,Puente Alto,Don Melchor,Cabernet Sauvignon,2010.0,True,4.6,1768.0,167.99,top_listed,3.5,3.0,4.5,1.0,0.42857142857142855,0.625,0.875,57.08485714285714,150-200
156516648,Catena Zapata Nicasia Vineyards Red Blend Malbec 2018,Argentina,Vista Flores,Catena Zapata,Nicasia Vineyards Red Blend Malbec,2018.0,True,4.0,1331.0,158.19,most_user_rated,3.0,3.5,4.0,1.5,0.5714285714285714,0.5,0.75,36.969142857142856,150-200
4091987,Don Melchor Cabernet Sauvignon 2014,Chile,Puente Alto,Don Melchor,Cabernet Sauvignon,2014.0,True,4.6,1024.0,167.99,latest_available,3.5,3.0,4.5,1.0,0.42857142857142855,0.625,0.875,19.884857142857143,150-200
2061644,Aalto PS (Pagos Seleccionados) 2011,Spain,Ribera del Duero,Aalto,PS (Pagos Seleccionados),2011.0,True,4.6,811.0,209.97,price_qpr,4.0,4.0,4.0,1.0,0.7142857142857143,0.75,0.75,0.8674285714285688,200-300
1367200,Gaja Dagromis Barolo 2011,Italy,Barolo,Gaja,Dagromis Barolo,2011.0,True,4.3,613.0,209.99,oldest_available,5.0,5.0,4.0,1.0,1.0,1.0,0.75,-9.102999999999998,200-300
1186195,Château Lagrange Saint-Julien (Grand Cru Classé) 2005,France,Saint-Julien,Château Lagrange,Saint-Julien (Grand Cru Classé),2005.0,True,4.2,743.0,244.99,critic_favorite,4.5,4.5,4.0,1.0,0.8571428571428571,0.875,0.75,-9.669785714285716,200-300
1740597,Muga Prado Enea Gran Reserva 2010,Spain,Rioja,Muga,Prado Enea Gran Reserva,2010.0,True,4.3,1022.0,380.8,latest_available,4.5,4.0,4.0,1.0,0.7142857142857143,0.875,0.75,-22.856071428571433,300+
4344245,Domaine Serene Evenstad Reserve Pinot Noir 2014,United States,Willamette Valley,Domaine Serene,Evenstad Reserve Pinot Noir,2014.0,True,4.4,634.0,363.99,most_user_rated,2.0,4.0,2.0,1.0,0.7142857142857143,0.25,0.25,-38.966571428571434,300+
2032039,Mastroberardino Taurasi Riserva Radici 2006,Italy,Taurasi,Mastroberardino,Taurasi Riserva Radici,2006.0,True,4.2,557.0,350.0,most_user_rated,3.0,2.0,5.0,2.0,0.14285714285714285,0.5,1.0,-40.005714285714284,300+
